km_cluster,state_y,county_name,party,county_fips,2_or_more_cars_p,0_or_1_car_p,EV DC Fast Count,EV Level1 EVSE Num,EV Level2 EVSE Num,nhb_percentage,hisp_percentage,pov_percentage,white_percentage,state_po,state_party
0,ALABAMA,AUTAUGA,REPUBLICAN,1001,0.6600047359696898,0.3399952640303102,0.0,0.0,0.0,0.1897644927536232,0.0276811594202898,0.1525724637681159,0.7502173913043478,AL,REPUBLICAN
0,ALABAMA,BALDWIN,REPUBLICAN,1003,0.63790033324006,0.36209966675994,20.0,0.0,26.0,0.0938411490243,0.0449432263210752,0.1040474371357042,0.8301883165871403,AL,REPUBLICAN
3,ALABAMA,BARBOUR,REPUBLICAN,1005,0.5510559547136947,0.4489440452863052,0.0,0.0,2.0,0.473159568691335,0.0428981459933286,0.2558761926925762,0.4614847568070747,AL,REPUBLICAN
0,ALABAMA,BIBB,REPUBLICAN,1007,0.6523391812865498,0.3476608187134503,0.0,0.0,0.0,0.2208017046211213,0.0242819727438185,0.1270919341234962,0.7458161317530075,AL,REPUBLICAN
6,ALABAMA,BLOUNT,REPUBLICAN,1009,0.6952912621359224,0.3047087378640776,0.0,0.0,0.0,0.0142249978315552,0.0912655043802584,0.1425969294821754,0.8714025500910747,AL,REPUBLICAN
2,ALABAMA,BULLOCK,DEMOCRAT,1011,0.5580493211415904,0.4419506788584095,0.0,0.0,0.0,0.7624613601236476,0.0049265842349304,0.3004250386398763,0.2152241112828438,AL,REPUBLICAN
3,ALABAMA,BUTLER,REPUBLICAN,1013,0.571258199165176,0.4287418008348241,16.0,0.0,0.0,0.4507865168539325,0.0033458177278401,0.2317103620474407,0.5185518102372035,AL,REPUBLICAN
3,ALABAMA,CALHOUN,REPUBLICAN,1015,0.6372437989918505,0.3627562010081496,2.0,0.0,9.0,0.205199047767989,0.0365167075014335,0.1808806408451927,0.7247997358772524,AL,REPUBLICAN
3,ALABAMA,CHAMBERS,REPUBLICAN,1017,0.5975880437999408,0.4024119562000592,0.0,0.0,0.0,0.393750369538225,0.0227044285460888,0.1635132738130432,0.5579140306273281,AL,REPUBLICAN
6,ALABAMA,CHEROKEE,REPUBLICAN,1019,0.6999811427493872,0.3000188572506128,0.0,0.0,0.0,0.0490078520867984,0.0153947317526012,0.1480292422542838,0.9178818705759486,AL,REPUBLICAN
0,ALABAMA,CHILTON,REPUBLICAN,1021,0.6772729986269477,0.3227270013730524,0.0,0.0,1.0,0.0936034600500796,0.0777600728431595,0.1828818575005691,0.8013885727293422,AL,REPUBLICAN
3,ALABAMA,CHOCTAW,REPUBLICAN,1023,0.6024299065420561,0.3975700934579439,0.0,0.0,0.0,0.4260038240917782,0.0055831739961759,0.2190439770554493,0.5636711281070745,AL,REPUBLICAN
3,ALABAMA,CLARKE,REPUBLICAN,1025,0.5987390468048728,0.4012609531951271,0.0,0.0,0.0,0.4581539344732849,0.0019682617788165,0.2496412022799032,0.5287653257883298,AL,REPUBLICAN
0,ALABAMA,CLAY,REPUBLICAN,1027,0.6629106187929718,0.3370893812070282,0.0,0.0,0.0,0.1473314396770818,0.0310210793840633,0.1797727612498131,0.802810584541785,AL,REPUBLICAN
0,ALABAMA,CLEBURNE,REPUBLICAN,1029,0.6828501571777855,0.3171498428222145,0.0,0.0,1.0,0.0263087428035881,0.0242334984603025,0.1820190119159191,0.9264292408622306,AL,REPUBLICAN
0,ALABAMA,COFFEE,REPUBLICAN,1031,0.6437414725352468,0.3562585274647531,1.0,0.0,1.0,0.1705272188426142,0.0691974730931212,0.1482608017469973,0.706266573077523,AL,REPUBLICAN
0,ALABAMA,COLBERT,REPUBLICAN,1033,0.6436992522592779,0.356300747740722,2.0,0.0,2.0,0.157096981374438,0.0247545646389577,0.1612074502247912,0.786585925314249,AL,REPUBLICAN
3,ALABAMA,CONECUH,REPUBLICAN,1035,0.4978137297770004,0.5021862702229996,12.0,0.0,0.0,0.4763464919290395,0.0083906025251718,0.2199136966597411,0.5013584785040754,AL,REPUBLICAN
6,ALABAMA,COOSA,REPUBLICAN,1037,0.6929076285644651,0.3070923714355349,0.0,0.0,0.0,0.3420543528327959,0.0046061722708429,0.1344081068631966,0.6526024873330263,AL,REPUBLICAN
0,ALABAMA,COVINGTON,REPUBLICAN,1039,0.6258662046908315,0.3741337953091684,0.0,0.0,3.0,0.1282428850633182,0.0161709191186313,0.1794329469090519,0.833873256405451,AL,REPUBLICAN
3,ALABAMA,CRENSHAW,REPUBLICAN,1041,0.6266666666666667,0.3733333333333333,0.0,0.0,2.0,0.226974395961053,0.0198341146772448,0.1549224666426253,0.7117922827262892,AL,REPUBLICAN
0,ALABAMA,CULLMAN,REPUBLICAN,1043,0.6725349821021802,0.3274650178978197,0.0,0.0,0.0,0.0115899068190929,0.0430430187212226,0.1558806020920146,0.921191063380025,AL,REPUBLICAN
3,ALABAMA,DALE,REPUBLICAN,1045,0.6221746116764864,0.3778253883235136,0.0,0.0,6.0,0.1951273982336818,0.0623286975941528,0.1786214597502791,0.6903867627652015,AL,REPUBLICAN
2,ALABAMA,DALLAS,DEMOCRAT,1047,0.4971841332027424,0.5028158667972575,0.0,0.0,0.0,0.70246571235854,0.0102925379100152,0.3059531839416423,0.2754003347573009,AL,REPUBLICAN
0,ALABAMA,DEKALB,REPUBLICAN,1049,0.6641665391091383,0.3358334608908618,2.0,0.0,0.0,0.01375,0.1435393258426966,0.2176966292134831,0.806755617977528,AL,REPUBLICAN
0,ALABAMA,ELMORE,REPUBLICAN,1051,0.6530899358336479,0.3469100641663521,0.0,0.0,14.0,0.2111510614194946,0.0288996699995074,0.1165098753878737,0.7322932571541152,AL,REPUBLICAN
3,ALABAMA,ESCAMBIA,REPUBLICAN,1053,0.5175752159666369,0.4824247840333631,0.0,0.0,1.0,0.3191170167166738,0.0224496356622374,0.2214959279897128,0.6022288898414059,AL,REPUBLICAN
0,ALABAMA,ETOWAH,REPUBLICAN,1055,0.6273564226216573,0.3726435773783428,2.0,0.0,2.0,0.1536443913385597,0.0376922254927675,0.1702367421482625,0.7807925081844588,AL,REPUBLICAN
0,ALABAMA,FAYETTE,REPUBLICAN,1057,0.6355261263854901,0.3644738736145098,0.0,0.0,0.0,0.1120289418148929,0.0171842025927042,0.1964425685860717,0.8466686765149232,AL,REPUBLICAN
0,ALABAMA,FRANKLIN,REPUBLICAN,1059,0.6581623550401428,0.3418376449598572,0.0,0.0,0.0,0.0424196309682328,0.1690761524316784,0.1997019846553801,0.7708135184832922,AL,REPUBLICAN
0,ALABAMA,GENEVA,REPUBLICAN,1061,0.6408054203645386,0.3591945796354614,0.0,0.0,2.0,0.0931637159790117,0.038767883432109,0.2371371409157827,0.8393416632063719,AL,REPUBLICAN
2,ALABAMA,GREENE,DEMOCRAT,1063,0.4900169204737733,0.5099830795262267,2.0,0.0,0.0,0.7959886066935675,0.0169712793733681,0.3827438879658201,0.171492997863755,AL,REPUBLICAN
2,ALABAMA,HALE,DEMOCRAT,1065,0.5100742311770944,0.4899257688229056,0.0,0.0,0.0,0.587290924968093,0.00873245113186,0.2558608181634983,0.3961845905823873,AL,REPUBLICAN
0,ALABAMA,HENRY,REPUBLICAN,1067,0.6549707602339181,0.3450292397660818,0.0,0.0,0.0,0.276045316514833,0.0261621116561551,0.1325624854006073,0.6893833216538192,AL,REPUBLICAN
3,ALABAMA,HOUSTON,REPUBLICAN,1069,0.5852291544595318,0.4147708455404682,14.0,0.0,3.0,0.2672397270775836,0.0329365992026985,0.1812423336399877,0.6691390677706225,AL,REPUBLICAN
0,ALABAMA,JACKSON,REPUBLICAN,1071,0.6492291282846891,0.3507708717153108,2.0,0.0,2.0,0.0345337274926095,0.0288900833109379,0.1999846431450838,0.8933274465389488,AL,REPUBLICAN
2,ALABAMA,JEFFERSON,DEMOCRAT,1073,0.5655823151569039,0.434417684843096,41.0,0.0,61.0,0.4254453759099973,0.0379577264158377,0.1662499318070229,0.501388105932486,AL,REPUBLICAN
0,ALABAMA,LAMAR,REPUBLICAN,1075,0.6221961834616672,0.3778038165383328,0.0,0.0,0.0,0.1118208569583004,0.0156463073279265,0.2092873035240077,0.8599009545682911,AL,REPUBLICAN
0,ALABAMA,LAUDERDALE,REPUBLICAN,1077,0.6354312717453394,0.3645687282546606,0.0,0.0,12.0,0.0991845331317168,0.0260517362423718,0.1480045363719825,0.8478803261867474,AL,REPUBLICAN
0,ALABAMA,LAWRENCE,REPUBLICAN,1079,0.6520177972055266,0.3479822027944735,0.0,0.0,0.0,0.108980736185222,0.0213137981972204,0.1660486569593922,0.765427632570619,AL,REPUBLICAN
3,ALABAMA,LEE,REPUBLICAN,1081,0.6380846512724638,0.3619153487275361,0.0,0.0,28.0,0.2284492770910369,0.0368203305982283,0.2060117900393629,0.6742232573907475,AL,REPUBLICAN
6,ALABAMA,LIMESTONE,REPUBLICAN,1083,0.69551142376891,0.3044885762310901,12.0,0.0,3.0,0.1333125564200662,0.058881055753772,0.133086876155268,0.768967888922323,AL,REPUBLICAN
2,ALABAMA,LOWNDES,DEMOCRAT,1085,0.5114832535885168,0.4885167464114832,0.0,0.0,0.0,0.7411098085189527,0.0068386088315748,0.2754982415005861,0.2447245017584994,AL,REPUBLICAN
2,ALABAMA,MACON,DEMOCRAT,1087,0.4857928505957837,0.5142071494042163,0.0,0.0,0.0,0.8178335257688675,0.0172142332318673,0.2257793639130891,0.1559777474546027,AL,REPUBLICAN
3,ALABAMA,MADISON,REPUBLICAN,1089,0.6204494134493583,0.3795505865506416,0.0,0.0,46.0,0.2385417831972256,0.0483667076854234,0.1285378677704441,0.6491637767088041,AL,REPUBLICAN
2,ALABAMA,MARENGO,DEMOCRAT,1091,0.4868692070030895,0.5131307929969104,0.0,0.0,0.0,0.5383355512334937,0.0058859658102159,0.2150168901627597,0.4499436994574675,AL,REPUBLICAN
0,ALABAMA,MARION,REPUBLICAN,1093,0.6339665902391091,0.3660334097608909,0.0,0.0,0.0,0.034940764224929,0.025095945269481,0.171666944768897,0.9197063240447187,AL,REPUBLICAN
0,ALABAMA,MARSHALL,REPUBLICAN,1095,0.6404172397982577,0.3595827602017423,1.0,0.0,7.0,0.0258132324347049,0.1362236586263072,0.2139261127752378,0.8124126333490987,AL,REPUBLICAN
3,ALABAMA,MOBILE,REPUBLICAN,1097,0.5791915600875307,0.4208084399124693,12.0,0.0,36.0,0.3535435140681861,0.0288743280623355,0.1886079887329106,0.5715226246144423,AL,REPUBLICAN
3,ALABAMA,MONROE,REPUBLICAN,1099,0.5502515646091545,0.4497484353908455,0.0,0.0,0.0,0.4078653774637412,0.0140386760877649,0.3049925622908144,0.54337114168836,AL,REPUBLICAN
2,ALABAMA,MONTGOMERY,DEMOCRAT,1101,0.5450882172872489,0.4549117827127512,5.0,0.0,9.0,0.5750966110134352,0.0341454386823006,0.2004001039917864,0.345433394582733,AL,REPUBLICAN
0,ALABAMA,MORGAN,REPUBLICAN,1103,0.6617666389168821,0.3382333610831179,2.0,0.0,8.0,0.1271049848054935,0.0813535702892832,0.1504340088312822,0.7597001393529322,AL,REPUBLICAN
2,ALABAMA,PERRY,DEMOCRAT,1105,0.4202663202338421,0.5797336797661579,0.0,0.0,0.0,0.6924942019818681,0.0093822475226649,0.3811933375500738,0.2949609951507485,AL,REPUBLICAN
3,ALABAMA,PICKENS,REPUBLICAN,1107,0.5977423638778221,0.4022576361221779,0.0,0.0,0.0,0.4014188590008868,0.0459158537786974,0.218248103261405,0.538230367523894,AL,REPUBLICAN
3,ALABAMA,PIKE,REPUBLICAN,1109,0.525591062613666,0.4744089373863341,0.0,0.0,2.0,0.3790378109750621,0.0078735442924288,0.2506960452653953,0.5617758883932581,AL,REPUBLICAN
